_best_bound,_dettime,_linear_nonzeros,_miprelgap,_n_iterations,_n_nodes_processed,_ncolumns,_problem_type,_quality_metrics,_solve_status,_solve_status_code,_time,binary_variables,constraints,cuts_BQP,cuts_GUB_cover,cuts_MIR,cuts_RLT,cuts_benders,cuts_clique,cuts_cover,cuts_disjunctive,cuts_flow_cover,cuts_flow_path,cuts_fractional,cuts_implied_bound,cuts_lift_and_project,cuts_local_implied_bound,cuts_multi_commodity_flow,cuts_solution_pool,cuts_table,cuts_user,cuts_zero_half,integer_variables,linear_relaxation,name,objective_value
27.0,145.2222490310669,32748,0.0,87,0,1260,MILP,{},integer optimal solution,101,0.14691710472106934,1236,6882,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,27.0,dr_bf_m:14n-46m-Generic-Deutsche-Telekom-DT_30_15_12_1.0,27.0
20.0,69.87478256225586,4654,0.0,717,0,1382,MILP,{},integer optimal solution,101,0.07515883445739746,1378,685,0,0,8,0,0,43,78,0,0,0,13,0,0,0,29,0,0,0,29,4,6.3500000000000005,dr_bf_m:24n-86m-UBN24_100_50_14_0.2,20.0
171.0,5699.470830917358,1520244,0.0,1129,0,13662,MILP,{},integer optimal solution,101,9.158572912216187,,456588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,170.99999999999997,dr_aov_f:21n-70m-SpanishTelefonica_100_10_66_1.0,171.0
20.0,105.95909118652344,12446,0.0,285,0,784,MILP,{},integer optimal solution,101,0.11876392364501953,406,2660,0,0,15,0,0,0,17,0,29,0,22,0,2,0,27,0,0,0,19,378,9.833333333333332,dr_bf_f:11n-52m-Pan-European-COST239_100_50_18_0.5,20.0
41.0,227.08767700195312,51156,0.0,139,0,1884,MILP,{},integer optimal solution,101,0.3978450298309326,996,10710,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,888,40.0,dr_bf_f:21n-72m-Italian_30_15_12_1.0,41.0
27.0,164.50133609771729,6564,0.0,1116,0,708,MILP,{},integer optimal solution,101,0.18754315376281738,356,1486,0,0,49,0,0,1,12,0,58,0,9,0,27,0,20,0,0,0,57,352,12.75,dr_bf_f:24n-86m-UBN24_10_5_14_0.5,27.0
93.0,13148.096195220947,239202,0.0,80100,2958,1566,MILP,{},integer optimal solution,101,33.19635200500488,,60039,0,2,234,0,0,15,125,0,221,8,28,11,36,0,0,0,0,0,69,,32.083333333333336,dr_sc_f:28n-82m-EURO28_10_1_58_0.2,93.0
38.0,400.8635902404785,51156,0.0,236,0,1884,MILP,{},integer optimal solution,101,0.497175931930542,996,10710,0,0,5,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,10,888,37.0,dr_bf_f:21n-72m-Italian_10_5_12_1.0,38.0
19.0,72.41579341888428,1270,0.0,631,0,286,MILP,{},integer optimal solution,101,0.08750486373901367,142,329,0,0,24,0,0,0,12,0,37,0,2,1,0,0,10,0,0,0,14,144,6.028571428571429,dr_bf_f:22n-70m-British-telecom_30_15_12_0.2,19.0
37.7,96924.62697410583,25265,0.6983999999994412,436111,23747,720,MILP,{},time limit exceeded,107,60.003077030181885,,7587,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8804,12,,9.0,dr_aov_c:21n-70m-SpanishTelefonica_30_3_66_0.2,125.0
