_best_bound,_dettime,_linear_nonzeros,_miprelgap,_n_iterations,_n_nodes_processed,_ncolumns,_problem_type,_quality_metrics,_solve_status,_solve_status_code,_time,binary_variables,constraints,cuts_BQP,cuts_GUB_cover,cuts_MIR,cuts_RLT,cuts_benders,cuts_clique,cuts_cover,cuts_disjunctive,cuts_flow_cover,cuts_flow_path,cuts_fractional,cuts_implied_bound,cuts_lift_and_project,cuts_local_implied_bound,cuts_multi_commodity_flow,cuts_solution_pool,cuts_table,cuts_user,cuts_zero_half,integer_variables,linear_relaxation,name,objective_value
128.9999999999987,14746.87352848053,131742,0.0,41125,1510,3294,MILP,{},integer optimal solution,101,23.07051110267639,1782,27261,0,0,184,0,0,6,61,0,190,3,31,7,17,0,0,0,0,0,140,1512,62.91666666666666,dr_bf_f:28n-82m-EURO28_100_10_58_0.5,129.0
66.0,5111.979701042175,38362,0.0,12302,1362,840,MILP,{},integer optimal solution,101,2.415260076522827,798,7833,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,252,8,42,21.0,dr_bf_c:6n-9m-n6s9_100_10_60_0.5,66.0
32.0,131.31237602233887,7716,0.0,1499,0,1508,MILP,{},integer optimal solution,101,0.14181303977966309,1500,1406,0,0,13,0,0,74,118,0,1,0,24,0,2,0,44,0,0,0,47,8,11.383333333333333,dr_bf_m:20n-62m-ARPANet_10_3_20_0.2,32.0
46.0,406.53056716918945,83314,0.0,149,0,2618,MILP,{},integer optimal solution,101,0.38203907012939453,2590,17311,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,46.0,dr_bf_m:24n-86m-UBN24_100_50_14_1.0,46.0
27.0,238.3291711807251,3524,0.0,1982,0,388,MILP,{},integer optimal solution,101,0.2855241298675537,196,814,0,0,19,0,0,1,13,0,25,2,0,1,3,0,6,0,0,0,34,192,8.988095238095239,dr_bf_f:16n-46m-EURO_30_9_18_0.2,27.0
nan,86615.25213623047,5568577,nan,0,0,20560,MILP,{},"time limit exceeded, no integer solution",108,60.94508695602417,20400,1115720,,,,,,,,,,,,,,,,,,,,160,79.99999999999996,dr_bf_c:43n-176m-EuroLarge_30_3_80_1.0,
22.0,647.5639410018921,1286,0.0,12247,1962,138,MILP,{},integer optimal solution,101,0.6050529479980469,132,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,6,3.0,dr_bf_c:14n-42m-NSF_30_9_20_0.2,22.0
16.0,36.53824043273926,2916,0.0,585,0,610,MILP,{},integer optimal solution,101,0.04834294319152832,604,583,0,0,4,0,0,16,23,0,2,0,8,0,0,0,16,0,0,0,11,6,6.65,dr_bf_m:16n-46m-EURO_30_15_10_0.2,16.0
17.0,2760.100896835327,736,0.0,20745,2210,150,MILP,{},integer optimal solution,101,2.130851984024048,146,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,0,4,2.0,dr_bf_c:21n-72m-Italian_30_15_12_0.2,17.0
nan,75572.51502132416,8956992,nan,0,0,46200,MILP,{},"time limit exceeded, no integer solution",108,60.02406716346741,,690360,,,,,,,,,,,,,,,,,,,,,0.0,drl_bf_c:21n-70m-SpanishTelefonica_10_1_66_1.0,
91.0,2531.1350269317627,74070,0.0,4935,93,1998,MILP,{},integer optimal solution,101,4.449759006500244,1134,15381,0,0,101,0,0,5,55,0,144,6,52,15,7,0,0,0,0,0,121,864,44.583333333333336,dr_bf_f:16n-46m-EURO_30_3_56_0.5,91.0
212.0,48209.36833190918,1664572,0.0,972,0,14484,MILP,{},integer optimal solution,101,27.871610164642334,14348,336770,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,136,212.00000000000003,dr_bf_m:21n-72m-Italian_10_1_68_1.0,212.0
36.78525641025641,107027.81418991089,51699,0.790992861304912,298468,22732,1092,MILP,{},time limit exceeded,107,60.004343032836914,1068,10398,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7456,4,24,12.0,dr_bf_c:21n-78m-UKNet_30_3_74_0.2,176.0
31.0,100413.38008785248,25336,0.7769784172656281,350904,23758,720,MILP,{},time limit exceeded,107,60.00280022621155,702,5103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10455,0,18,9.0,dr_bf_c:22n-70m-British-telecom_100_10_62_0.2,139.0
31.776862026862016,91890.76534175873,25266,0.7881542531537278,405962,25200,720,MILP,{},time limit exceeded,107,60.00707292556763,,7587,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9078,11,,9.0,dr_aov_c:21n-70m-SpanishTelefonica_100_10_66_0.2,150.0
140.0,2846.281138420105,233188,0.0,4360,0,7346,MILP,{},integer optimal solution,101,4.225637912750244,7296,46778,0,0,48,0,0,71,316,0,2,0,75,0,0,0,0,0,0,0,153,50,96.16666666666669,dr_bf_m:21n-72m-Italian_10_1_68_0.5,140.0
60.0,1520.4545726776123,262366,0.0,176,0,4758,MILP,{},integer optimal solution,101,1.3802261352539062,4706,53625,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,60.0,dr_bf_m:20n-78m-EON20_30_9_26_1.0,60.0
64.0,472.3439884185791,41922,0.0,1298,0,1920,MILP,{},integer optimal solution,101,0.6494300365447998,1878,8550,0,0,40,0,0,69,141,0,0,0,31,0,0,0,0,0,0,0,87,42,38.75,dr_bf_m:6n-9m-n6s9_10_1_60_0.5,64.0
32.0,20435.547565460205,9754,0.0,182240,19480,378,MILP,{},integer optimal solution,101,10.867991924285889,364,1974,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1274,15,14,7.0,dr_bf_c:14n-46m-Generic-Deutsche-Telekom-DT_100_30_20_0.5,32.0
nan,112081.78938102722,193928,nan,0,0,2280,MILP,{},"time limit exceeded, no integer solution",108,60.00676918029785,2232,38988,,,,,,,,,,,,,,,,,,,,48,24.0,dr_bf_c:21n-70m-SpanishTelefonica_100_10_66_0.5,
16.0,52.060468673706055,1950,0.0,373,0,288,MILP,{},integer optimal solution,101,0.057301998138427734,144,471,0,0,13,0,0,1,8,0,13,1,6,3,0,0,8,0,0,0,16,144,6.65,dr_bf_f:16n-46m-EURO_30_15_10_0.2,16.0
21.0,74.01703071594238,9102,0.0,249,0,666,MILP,{},integer optimal solution,101,0.07216787338256836,342,1965,0,0,15,0,0,0,17,0,51,0,15,0,0,0,22,0,0,0,14,324,8.333333333333332,dr_bf_f:11n-52m-Pan-European-COST239_30_15_18_0.5,21.0
29.833333333333336,115406.58064651489,37024,0.7773631840790218,333891,26376,920,MILP,{},time limit exceeded,107,60.002864837646484,,7435,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9383,13,,10.0,dr_ob_c:28n-82m-EURO28_100_10_58_0.2,134.0
86.0,829.4721908569336,36816,0.0,1290,0,1326,MILP,{},integer optimal solution,101,1.0750789642333984,728,7670,0,0,46,0,0,0,86,0,125,1,47,0,5,0,0,0,0,0,18,598,20.72063492063492,dr_bf_f:10n-44m-SmallNet_30_3_86_0.2,86.0
19.0,50.24118232727051,3466,0.0,347,0,1014,MILP,{},integer optimal solution,101,0.05554389953613281,1010,545,0,0,1,0,0,22,42,0,1,0,10,0,0,0,19,0,0,0,11,4,9.1,dr_bf_m:21n-72m-Italian_100_50_12_0.2,19.0
20.0,54.8565092086792,4354,0.0,159,0,308,MILP,{},integer optimal solution,101,0.052123069763183594,168,959,0,0,11,0,0,0,18,0,26,1,24,5,0,0,14,0,0,0,11,140,10.083333333333332,dr_bf_f:6n-9m-n6s9_10_3_20_0.5,20.0
25.0,117.74499607086182,1950,0.0,2562,93,288,MILP,{},integer optimal solution,101,0.14288806915283203,144,468,0,0,24,0,0,0,20,0,51,2,9,6,4,0,8,0,0,0,28,144,7.442857142857143,dr_bf_f:15n-46m-NSF_100_30_20_0.2,25.0
9.5,102366.6139793396,629174,0.9839797639121443,30831,9126,8118,MILP,{},time limit exceeded,107,60.01196599006653,,88301,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1368,0,,9.0,dsl_ascc_c:28n-82m-EURO28_10_1_58_0.2,593.0
nan,113686.52154541016,111915,nan,0,0,1700,MILP,{},"time limit exceeded, no integer solution",108,60.0072340965271,1666,22491,,,,,,,,,,,,,,,,,,,,34,17.0,dr_bf_c:28n-82m-EURO28_30_3_58_0.5,
99.0,6875.503185272217,55404,0.0,118080,2904,2028,MILP,{},integer optimal solution,101,11.759701013565063,1068,11562,0,0,238,0,0,4,120,0,308,4,52,32,17,0,0,0,0,0,85,960,27.925000000000004,dr_bf_f:20n-78m-EON20_100_10_78_0.2,99.0
40.333333333333336,90121.4847574234,31572,0.7681992337160336,397992,21800,810,MILP,{},time limit exceeded,107,60.00639796257019,,9480,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8688,40,,10.0,dr_aov_c:21n-70m-SpanishTelefonica_10_1_66_0.2,174.0
18.0,17.857626914978027,1950,0.0,156,0,288,MILP,{},integer optimal solution,101,0.022909879684448242,144,471,0,1,19,0,0,1,9,0,17,1,13,6,0,0,14,0,0,0,18,144,7.75,dr_bf_f:16n-46m-EURO_100_50_10_0.5,18.0
77.0,895.4658527374268,22670,0.0,3430,142,1030,MILP,{},integer optimal solution,101,1.2228419780731201,550,4805,0,0,66,0,0,9,63,0,103,3,49,21,5,0,0,0,0,0,47,480,22.013095238095236,dr_bf_f:14n-46m-Generic-Deutsche-Telekom-DT_30_3_64_0.2,77.0
50.900000000000006,116463.92436695099,72294,0.43444444444396163,241278,17269,1178,MILP,{},time limit exceeded,107,60.00276708602905,1140,14592,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5045,14,38,19.0,dr_bf_c:14n-42m-NSF_30_3_60_0.5,90.0
29.0,352.3766202926636,36100,0.0,735,276,1140,MILP,{},integer optimal solution,101,0.49449801445007324,1100,7550,0,0,2,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,12,40,28.0,dr_bf_m:6n-9m-n6s9_100_30_20_1.0,29.0
17.0,18.14242935180664,2218,0.0,232,0,650,MILP,{},integer optimal solution,101,0.02782607078552246,646,357,0,0,4,0,0,29,32,0,0,0,14,0,4,0,23,0,0,0,10,4,4.314285714285714,dr_bf_m:14n-46m-Generic-Deutsche-Telekom-DT_100_50_12_0.2,17.0
13.0,12.985511779785156,2026,0.0,175,0,594,MILP,{},integer optimal solution,101,0.018702030181884766,590,341,0,0,0,0,0,12,18,0,0,0,16,0,0,0,17,0,0,0,6,4,4.285714285714286,dr_bf_m:14n-42m-NSF_100_50_12_0.2,13.0
95.0,1006.3583755493164,37948,0.0,6691,0,5476,MILP,{},integer optimal solution,101,2.016202926635742,,6908,0,0,78,0,0,358,393,0,2,0,36,0,0,0,49,0,0,0,214,,31.522222222222226,dr_ob_m:28n-82m-EURO28_30_3_58_0.2,95.0
133.0,6371.951525688171,757260,0.0,480,0,8700,MILP,{},integer optimal solution,101,6.539056062698364,6060,153930,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2640,133.0,dr_bf_f:14n-42m-NSF_30_3_60_1.0,133.0
nan,77192.37782859802,1645229,nan,0,0,9588,MILP,{},"time limit exceeded, no integer solution",108,60.05555009841919,9452,330514,,,,,,,,,,,,,,,,,,,,136,67.99999999999997,dr_bf_c:21n-72m-Italian_30_3_68_1.0,
101.0,3532.0096130371094,591058,0.0,473,0,9854,MILP,{},integer optimal solution,101,3.582178831100464,9802,120471,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,52,101.0,dr_bf_m:43n-176m-EuroLarge_100_30_26_1.0,101.0
89.0,6182.815998077393,34430,0.0,107711,2911,1510,MILP,{},integer optimal solution,101,9.346613883972168,790,7275,0,2,211,0,0,0,89,0,218,3,25,1,12,0,3,0,0,0,78,720,29.205952380952382,dr_bf_f:21n-70m-SpanishTelefonica_10_1_66_0.2,89.0
123.32514303985272,22853.809911727905,296660,0.02122902349321554,69856,2077,5068,MILP,{},time limit exceeded,107,60.02923798561096,2884,60550,0,0,159,0,0,5,76,0,213,1,93,37,0,0,0,0,0,0,247,2184,63.58333333333333,dr_bf_f:19n-76m-EON19_10_1_80_0.5,126.0
34.0,299.70408153533936,24066,0.0,1515,0,1782,MILP,{},integer optimal solution,101,0.41336584091186523,1762,4745,0,0,34,0,0,18,129,0,1,0,26,1,0,0,0,0,0,0,83,20,21.666666666666668,dr_bf_m:10n-44m-SmallNet_30_9_28_0.5,34.0
nan,97742.7811832428,252242,nan,0,0,810,MILP,{},"time limit exceeded, no integer solution",108,60.01184606552124,,63130,,,,,,,,,,,,,,,,,,,,,10.0,ds_bf_c:21n-70m-SpanishTelefonica_10_1_66_0.2,
41.0,366.03626823425293,83620,0.0,135,0,2100,MILP,{},integer optimal solution,101,0.4903678894042969,2060,17310,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,40,41.0,dr_bf_m:14n-42m-NSF_100_30_20_1.0,41.0
131.0,26253.405080795288,2696154,0.0,6223,0,7680,MILP,{},integer optimal solution,101,52.81955289840698,,673651,0,0,41,0,0,200,524,0,1,0,68,0,0,0,0,0,0,0,233,,63.50000000000004,nls_m:28n-82m-EURO28_30_3_58_0.5,131.0
60.0,1296.2057933807373,14289,0.0,5704,928,416,MILP,{},integer optimal solution,101,0.6396079063415527,390,2925,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200,20,26,13.0,dr_bf_c:6n-9m-n6s9_10_1_60_0.2,60.0
54.0,1708.4547691345215,262366,0.0,138,0,4758,MILP,{},integer optimal solution,101,1.484640121459961,2678,53625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,54.0,dr_bf_f:20n-78m-EON20_10_3_26_1.0,54.0
150.0,25478.492195129395,2301590,0.0,605,0,18706,MILP,{},integer optimal solution,101,35.817442178726196,13630,465065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5076,150.0,dr_bf_f:11n-52m-Pan-European-COST239_30_3_94_1.0,150.0
27.919768934531454,110458.04661178589,4240,0.1275072207954936,819418,38178,300,MILP,{},time limit exceeded,107,60.00227212905884,292,858,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4627,4,8,4.0,dr_bf_c:21n-70m-SpanishTelefonica_10_3_22_0.2,32.0
31.0,106265.70673751831,19712,0.3673469387747605,424233,23623,632,MILP,{},time limit exceeded,107,60.002280950546265,616,3972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7250,33,16,8.0,dr_bf_c:21n-70m-SpanishTelefonica_30_9_22_0.5,49.0
34.0,31987.14640903473,47744,0.0,66114,12685,1020,MILP,{},integer optimal solution,101,14.977321147918701,996,9606,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,752,3,24,12.0,dr_bf_c:21n-72m-Italian_100_50_12_1.0,34.0
34.0,12628.187938690186,12993,0.0,107840,9602,440,MILP,{},integer optimal solution,101,6.575523853302002,424,2628,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,927,3,16,8.0,dr_bf_c:14n-46m-Generic-Deutsche-Telekom-DT_10_3_20_0.5,34.0
20.0,42.99099159240723,3924,0.0,828,0,978,MILP,{},integer optimal solution,101,0.05117201805114746,972,667,0,0,11,0,0,51,36,0,0,0,11,0,2,0,30,0,0,0,14,6,5.411111111111111,dr_bf_m:14n-42m-NSF_100_30_20_0.2,20.0
36.0,27282.626415252686,71264,0.0,36256,4553,1302,MILP,{},integer optimal solution,101,13.751137971878052,1274,14329,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1559,10,28,14.0,dr_bf_c:21n-78m-UKNet_30_15_14_1.0,36.0
31.277777777777853,101808.96937847137,50564,0.8712848651116668,270183,17800,1230,MILP,{},time limit exceeded,107,60.01767301559448,1210,10155,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,9567,8,20,10.0,dr_bf_c:30n-112m-Spain_100_10_74_0.2,243.0
22.0,43.13785934448242,1950,0.0,344,0,288,MILP,{},integer optimal solution,101,0.05185389518737793,144,465,0,0,14,0,0,2,20,0,43,6,15,4,1,0,10,0,0,0,7,144,5.523809523809524,dr_bf_f:14n-46m-Generic-Deutsche-Telekom-DT_100_30_20_0.2,22.0
44.0,769.7956447601318,172116,0.0,184,0,3276,MILP,{},integer optimal solution,101,0.760908842086792,1988,35210,0,0,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23,1288,44.0,dr_bf_f:10n-44m-SmallNet_10_3_28_1.0,44.0
35.71428571428571,111316.09157180786,51705,0.795918367346484,331231,27300,1092,MILP,{},time limit exceeded,107,60.00621485710144,1068,10398,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6195,1,24,12.0,dr_bf_c:20n-78m-EON20_100_10_78_0.2,175.0
30.00000000000218,215.19530487060547,10066,0.0,546,0,644,MILP,{},integer optimal solution,101,0.21335506439208984,336,2191,0,0,25,0,0,0,19,0,44,0,9,3,0,0,15,0,0,0,22,308,15.0,dr_bf_f:14n-42m-NSF_100_30_20_0.5,30.00000000000218
28.0,142.6585865020752,11506,0.0,1081,0,1512,MILP,{},integer optimal solution,101,0.15572094917297363,1502,2264,0,0,7,0,0,23,92,0,1,0,8,0,0,0,22,0,0,0,46,10,15.833333333333332,dr_bf_m:21n-78m-UKNet_30_15_14_0.5,28.0
117.0,7439.093049049377,829020,0.0,388,0,9180,MILP,{},integer optimal solution,101,7.889214992523193,9060,168390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,117.0,dr_bf_m:15n-46m-NSF_100_10_60_1.0,117.0
nan,108307.15240192413,12371,nan,0,0,534,MILP,{},"time limit exceeded, no integer solution",108,60.0028338432312,522,2493,,,,,,,,,,,,,,,,,,,,12,6.0,dr_bf_c:28n-82m-EURO28_10_3_18_0.5,
nan,111748.87532615662,79366,nan,0,0,1870,MILP,{},"time limit exceeded, no integer solution",108,60.00616383552551,1850,15915,,,,,,,,,,,,,,,,,,,,20,10.0,dr_bf_c:43n-176m-EuroLarge_100_30_26_0.5,
42.0,495.13512420654297,91540,0.0,110,0,2260,MILP,{},integer optimal solution,101,0.5986390113830566,2220,18930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42.0,dr_bf_m:15n-46m-NSF_30_9_20_1.0,42.0
nan,17735.50134563446,2151297,nan,0,0,2169,MILP,{},"time limit exceeded, no integer solution",108,60.24148511886597,,549387,,,,,,,,,,,,,,,,,,,,,24.20357142857143,ds_acc_f:21n-70m-SpanishTelefonica_100_10_66_0.2,
nan,116377.54774856567,81949,nan,0,0,1360,MILP,{},"time limit exceeded, no integer solution",108,60.00570607185364,1328,16488,,,,,,,,,,,,,,,,,,,,32,16.0,dr_bf_c:28n-68m-EON_30_9_16_1.0,
30.0,265.8277950286865,3294,0.0,2047,0,480,MILP,{},integer optimal solution,101,0.32151103019714355,240,774,0,0,31,0,0,0,22,0,76,2,4,1,8,0,13,0,0,0,22,240,6.9714285714285715,dr_bf_f:21n-78m-UKNet_10_3_24_0.2,30.0
nan,95425.3791437149,193832,nan,0,0,2256,MILP,{},"time limit exceeded, no integer solution",108,60.007400035858154,,38940,,,,,,,,,,,,,,,,,,,,,24.0,dr_ob_c:21n-70m-SpanishTelefonica_100_10_66_0.5,
nan,104378.96053314209,605820,nan,0,0,909,MILP,{},"time limit exceeded, no integer solution",108,60.0147168636322,,151487,,,,,,,,,,,,,,,,,,,,,9.0,ds_bf_c:21n-70m-SpanishTelefonica_30_3_66_0.2,
41.0,135.91116333007812,49740,0.0,115,0,1836,MILP,{},integer optimal solution,101,0.12392091751098633,972,10434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,,dr_bf_f:22n-70m-British-telecom_100_50_12_1.0,41.0
45.0,480.32690238952637,30996,0.0,726,0,1494,MILP,{},integer optimal solution,101,0.6841909885406494,774,6561,0,0,44,0,0,0,22,0,66,0,36,2,0,0,0,0,0,0,75,720,25.000000000000004,dr_bf_f:21n-78m-UKNet_100_30_24_0.5,45.0
117.0,7438.477979660034,829020,0.0,388,0,9180,MILP,{},integer optimal solution,101,7.694597959518433,6300,168390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,117.0,dr_bf_f:15n-46m-NSF_100_10_60_1.0,117.0
61.0,1395.6222867965698,112618,0.0,2979,0,6644,MILP,{},integer optimal solution,101,1.4571459293365479,6622,22491,0,0,31,0,0,22,148,0,0,0,16,0,0,0,0,0,0,0,72,22,47.08333333333333,dr_bf_m:43n-176m-EuroLarge_10_3_26_0.5,61.0
129.3843603405296,22676.830506324768,1009962,0.019815451965669757,10468,144,3150,MILP,{},time limit exceeded,107,60.110783100128174,,253116,0,2,124,0,0,13,53,0,169,14,56,23,3,0,0,0,0,0,234,,69.41666666666666,ds_bf_f:28n-82m-EURO28_10_1_58_0.5,132.0
216.0,14914.270646095276,1378022,0.0,821,0,12934,MILP,{},integer optimal solution,101,15.52824091911316,8062,279241,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4872,216.0,dr_bf_f:28n-82m-EURO28_30_3_58_1.0,216.0
34.0,360.789532661438,75586,0.0,83,0,2394,MILP,{},integer optimal solution,101,0.2627420425415039,1274,15687,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1120,34.0,dr_bf_f:20n-78m-EON20_30_15_14_1.0,34.0
32.0,6153.66863822937,19974,0.0,33163,3289,550,MILP,{},integer optimal solution,101,3.189023017883301,530,4035,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,15,20,10.0,dr_bf_c:10n-44m-SmallNet_10_3_28_0.5,32.0
70.31878783155732,34084.43545818329,7376095,0.3607382924400601,5891,0,6576,MILP,{},time limit exceeded,107,60.276368856430054,,691008,0,0,71,0,0,215,392,0,1,0,58,0,0,0,0,0,0,0,0,,33.07222222222222,dr_bsa_m:28n-82m-EURO28_100_10_58_0.2,110.0
73.0,871.2492742538452,22670,0.0,1730,9,1030,MILP,{},integer optimal solution,101,1.2222909927368164,550,4825,0,0,63,0,0,6,54,0,112,6,30,10,0,0,0,0,0,0,82,480,26.291666666666664,dr_bf_f:16n-46m-EURO_100_10_56_0.2,73.0
33.0,192.5844497680664,11208,0.0,2304,0,2256,MILP,{},integer optimal solution,101,0.24112200736999512,2248,1918,0,0,25,0,0,55,106,0,4,0,11,0,1,0,50,0,0,0,59,8,12.25,dr_bf_m:24n-86m-UBN24_30_9_22_0.2,33.0
36.0,358.93500328063965,75586,0.0,122,0,2394,MILP,{},integer optimal solution,101,0.25919008255004883,1274,15701,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,36.0,dr_bf_f:21n-78m-UKNet_30_15_14_1.0,36.0
14.0,21.579957008361816,1704,0.0,268,0,614,MILP,{},integer optimal solution,101,0.03352713584899902,612,294,0,0,13,0,0,78,50,0,0,0,8,0,0,0,13,0,0,0,33,2,3.75,dr_bf_m:28n-68m-EON_10_5_8_0.2,14.0
16.0,17.880087852478027,1866,0.0,132,0,276,MILP,{},integer optimal solution,101,0.025434017181396484,138,435,0,0,6,0,0,0,16,0,31,0,17,0,0,0,16,0,0,0,11,138,4.6571428571428575,dr_bf_f:10n-44m-SmallNet_100_50_16_0.2,16.0
20.0,35.757418632507324,1121,0.0,444,115,92,MILP,{},integer optimal solution,101,0.043662071228027344,84,234,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,7,8,4.0,dr_bf_c:6n-9m-n6s9_100_30_20_0.2,20.0
147.0,27233.063848495483,304444,0.0,36913,1486,5180,MILP,{},integer optimal solution,101,49.912925004959106,2940,62146,0,10,444,0,0,9,123,0,418,7,72,32,23,0,0,0,0,0,254,2240,75.83333333333333,dr_bf_f:20n-78m-EON20_100_10_78_0.5,147.0
22.0,72.39402103424072,22670,0.0,49,0,1030,MILP,{},integer optimal solution,101,0.06525611877441406,550,4825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,22.0,dr_bf_f:16n-46m-EURO_100_50_10_1.0,22.0
57.783333333333346,114387.14033699036,88773,0.4886430678461751,158093,14600,1344,MILP,{},time limit exceeded,107,60.0072808265686,1302,17913,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4840,3,42,21.0,dr_bf_c:14n-42m-NSF_100_10_60_0.5,113.0
27.0,95.36708545684814,32748,0.0,64,0,1260,MILP,{},integer optimal solution,101,0.08838987350463867,684,6894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,27.0,dr_bf_f:15n-46m-NSF_10_5_12_1.0,27.0
24.0,160.3735179901123,11668,0.0,1087,0,1626,MILP,{},integer optimal solution,101,0.22487998008728027,1616,2224,0,0,4,0,0,29,65,0,1,0,23,0,0,0,16,0,0,0,22,10,10.749999999999998,dr_bf_m:19n-76m-EON19_100_50_16_0.5,24.0
20.0,13.56076717376709,1782,0.0,119,0,264,MILP,{},integer optimal solution,101,0.016321897506713867,132,429,0,0,12,0,0,0,19,0,18,2,21,3,1,0,12,0,0,0,4,132,5.411111111111111,dr_bf_f:14n-42m-NSF_100_30_20_0.2,20.0
25.0,106.52672481536865,8886,0.0,278,0,870,MILP,{},integer optimal solution,101,0.09001398086547852,858,1863,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,12,25.0,dr_bf_m:15n-46m-NSF_10_5_12_0.5,25.0
23.0,48.590086936950684,3924,0.0,931,0,978,MILP,{},integer optimal solution,101,0.05722403526306152,972,667,0,0,13,0,0,27,38,0,2,0,9,0,0,0,40,0,0,0,17,6,6.2,dr_bf_m:14n-42m-NSF_10_3_20_0.2,23.0
23.0,112.34478664398193,15498,0.0,510,0,1602,MILP,{},integer optimal solution,101,0.13793611526489258,1590,3115,0,0,0,0,0,7,28,0,1,0,16,0,0,0,14,0,0,0,29,12,15.0,dr_bf_m:20n-78m-EON20_10_5_14_0.5,23.0
nan,83646.53112220764,2112752,nan,0,0,11322,MILP,{},"time limit exceeded, no integer solution",108,60.05754804611206,11174,424279,,,,,,,,,,,,,,,,,,,,148,73.99999999999994,dr_bf_c:21n-78m-UKNet_10_1_74_1.0,
nan,114531.67453098297,67333,nan,0,0,1300,MILP,{},"time limit exceeded, no integer solution",108,60.00453782081604,1274,13533,,,,,,,,,,,,,,,,,,,,26,13.0,dr_bf_c:24n-86m-UBN24_10_1_70_0.2,
34.0,105252.60601997375,38865,0.7777777777772695,292486,23258,970,MILP,{},time limit exceeded,107,60.00829195976257,950,7815,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8688,9,20,10.0,dr_bf_c:24n-86m-UBN24_30_3_70_0.2,153.0
nan,73968.7002286911,1506012,nan,0,0,8976,MILP,{},"time limit exceeded, no integer solution",108,60.02896285057068,,302511,,,,,,,,,,,,,,,,,,,,,65.99999999999997,dr_ob_c:21n-70m-SpanishTelefonica_100_10_66_1.0,
52.0,1472.729736328125,255658,0.0,136,0,4654,MILP,{},integer optimal solution,101,1.4410350322723389,4602,52247,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,52.0,dr_bf_m:19n-76m-EON19_100_30_26_1.0,52.0
69.0,511.93020820617676,29570,0.0,3522,0,3330,MILP,{},integer optimal solution,101,0.6679229736328125,3310,5565,0,0,47,0,0,150,293,0,9,0,27,0,0,0,64,0,0,0,116,20,22.505555555555556,dr_bf_m:15n-46m-NSF_100_10_60_0.2,69.0
