_dettime,cuts_multi_commodity_flow,_best_bound,variables_continuous,_linear_nonzeros,objective_value,variables_integer,cuts_MIR,name,constraints,cuts_benders,cuts_flow_cover,_solve_status,_solve_status_code,cuts_RLT,_quality_metrics,cuts_clique,_problem_type,linear_relaxation,cuts_disjunctive,cuts_fractional,cuts_user,cuts_lift_and_project,variables_binary,_n_nodes_processed,cuts_GUB_cover,cuts_cover,_miprelgap,_ncolumns,_n_iterations,variables_user,cuts_flow_path,cuts_solution_pool,variables,exception,cuts_table,cuts_zero_half,cuts_BQP,cuts_implied_bound,_time,cuts_local_implied_bound
,,,0,,,0,,ds_acc_c:11n-52m-Pan-European-COST239_100_10_94_0.5,5199457,,,,,,,,,,,,,,4896,,,,,,,4896,,,4896,<class 'MemoryError'>:,,,,,,
84361.45802593231,,nan,0,7754838,,0,,dsl_bf_m:6n-9m-n6s9_30_3_60_0.5,2014440,,,"time limit exceeded, no integer solution",108,,{},,MILP,,,,,,33480,0,,,nan,33480,0,33480,,,33480,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 70.3604 s.
problem = MILP
",,,,,70.360426902771,
10507.92543888092,0,12.083333333333332,0,1175032,12.083333333333332,0,352,dsl_bf_m:6n-9m-n6s9_30_9_20_0.5,225040,0,39,integer optimal solution,101,0,{},58,MILP,12.08333333333332,0,7,0,0,11160,0,76,115,0.0,11160,3639,11160,0,0,11160,,0,132,0,22,10.587626934051514,0
23897.040314674377,,nan,0,3977977,,2288,,dr_bsa_f:43n-176m-EuroLarge_30_3_80_0.2,799084,,,CPLEX Error  1001: Out of memory.,1001,,{},,MILP,49.67857142857143,,,,,2678,0,,,nan,4966,0,4966,,,4966,"<class 'AssertionError'>:Solution not found: status  = CPLEX Error  1001: Out of memory.
time    = 48.26 s.
problem = MILP
",,,,,48.26001596450806,
11895.332049369812,0,35.0,0,1506636,35.0,468,21,nls_f:11n-52m-Pan-European-COST239_100_30_30_0.5,377658,0,66,integer optimal solution,101,0,{},0,MILP,14.416666666666668,0,24,0,0,3168,0,0,30,0.0,3636,3936,3636,2,0,3636,,0,34,0,2,22.448719024658203,0
941.8659429550171,0,21.0,0,190094,21.0,312,41,ds_bf_f:11n-52m-Pan-European-COST239_30_15_18_0.5,47306,0,54,integer optimal solution,101,0,{},0,MILP,8.333333333333332,0,14,0,0,498,0,1,18,0.0,810,536,810,2,0,810,,0,71,0,5,1.4941680431365967,0
1998.207594871521,0,13.0,0,62500,13.0,0,0,drl_bf_c:6n-9m-n6s9_10_5_12_0.5,8250,0,0,integer optimal solution,101,0,{},0,MILP,0.0,0,0,71,0,594,449,0,0,0.0,594,1694,594,0,0,594,,0,0,0,0,1.1320209503173828,0
1359.0345754623413,0,33.0,0,193680,33.0,0,25,ds_acc_m:11n-52m-Pan-European-COST239_10_3_30_0.5,48120,0,4,integer optimal solution,101,0,{},20,MILP,18.833333333333332,0,14,0,6,2190,0,0,158,0.0,2190,2298,2190,0,0,2190,,0,151,0,0,2.233258008956909,0
36.10267448425293,0,22.0,0,7758,22.0,18,1,dr_aov_m:6n-9m-n6s9_30_9_20_0.5,2244,0,0,integer optimal solution,101,0,{},15,MILP,18.083333333333336,0,8,0,0,594,0,0,28,0.0,612,287,612,0,0,612,,0,78,0,8,0.05191302299499512,0
,,,0,,,0,,dsl_bf_m:11n-52m-Pan-European-COST239_10_1_94_0.2,4807784,,,,,,,,,,,,,,53768,,,,,,,53768,,,53768,<class 'cplex.exceptions.errors.CplexSolverError'>:CPLEX Error  1001: Out of memory.,,,,,,
97269.59366512299,0,28.0,0,10082424,29.0,0,0,drl_bf_m:6n-9m-n6s9_100_30_20_1.0,35042,0,0,time limit exceeded,107,0,{},0,MILP,28.0,0,0,0,0,28638,0,0,0,0.03448275862057075,28638,551,28638,0,0,28638,,0,0,0,0,60.18285608291626,0
466.2985610961914,0,20.0,0,89872,20.0,72,10,nls_f:6n-9m-n6s9_100_30_20_0.2,22892,0,15,integer optimal solution,101,0,{},0,MILP,5.600000000000001,0,21,0,1,1272,0,0,19,0.0,1344,618,1344,0,0,1344,,0,3,0,6,0.5767040252685547,0
43967.193903923035,,nan,0,17198000,,0,,dsl_bf_m:6n-9m-n6s9_100_50_12_0.5,368856,,,CPLEX Error  1001: Out of memory.,1001,,{},,MILP,4.750000000000003,,,,,21816,0,,,nan,21816,0,21816,,,21816,"<class 'AssertionError'>:Solution not found: status  = CPLEX Error  1001: Out of memory.
time    = 55.8148 s.
problem = MILP
",,,,,55.81484794616699,
137217.5612192154,,nan,0,43877682,,0,,drl_bf_m:6n-9m-n6s9_100_10_60_1.0,123364,,,"time limit exceeded, no integer solution",108,,{},,MILP,,,,,,100836,0,,,nan,100836,0,100836,,,100836,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 74.4267 s.
problem = MILP
",,,,,74.42668509483337,
309.41526794433594,0,33.0,0,28730,33.0,20,33,dr_bf_m:11n-52m-Pan-European-COST239_10_3_30_0.5,5595,0,2,integer optimal solution,101,0,{},26,MILP,18.83333333333333,0,18,0,0,2170,0,0,156,0.0,2190,1775,2190,0,0,2190,,0,95,0,0,0.37270283699035645,0
39.60210132598877,0,14.0,0,12924,14.0,240,0,dr_bf_f:6n-9m-n6s9_30_15_12_1.0,2754,0,0,integer optimal solution,101,0,{},0,MILP,14.0,0,0,0,0,348,0,0,0,0.0,588,25,588,0,0,588,,0,0,0,0,0.05185103416442871,0
93479.06892871857,,nan,0,501320,,0,,ds_acc_c:11n-52m-Pan-European-COST239_10_1_94_0.2,125568,,,"time limit exceeded, no integer solution",108,,{},,MILP,16.0,,,,,1008,0,,,nan,1008,0,1008,,,1008,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0128 s.
problem = MILP
",,,,,60.01284384727478,
109441.79709339142,,nan,0,153968,,0,,drl_bf_c:21n-70m-SpanishTelefonica_10_5_12_0.2,23012,,,"time limit exceeded, no integer solution",108,,{},,MILP,0.0,,,,,1540,0,,,nan,1540,0,1540,,,1540,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0054 s.
problem = MILP
",,,,,60.00542497634888,
362.2727565765381,0,12.0,0,45804,12.0,54,2,nls_f:6n-9m-n6s9_100_50_12_0.2,11769,0,12,integer optimal solution,101,0,{},1,MILP,4.0,0,11,0,0,954,0,0,11,0.0,1008,651,1008,1,0,1008,,0,29,0,5,0.3516569137573242,0
42597.791279792786,0,18.0,0,20194,18.0,0,0,dr_bsa_c:21n-70m-SpanishTelefonica_10_5_12_0.2,3086,0,0,integer optimal solution,101,0,{},0,MILP,3.0,0,0,2234,0,240,17506,0,0,0.0,240,258524,240,0,0,240,,0,0,0,0,21.287204027175903,0
435.40142822265625,0,30.0,0,138369,30.0,208,5,dr_bsa_f:11n-52m-Pan-European-COST239_30_9_30_0.2,16012,0,8,integer optimal solution,101,0,{},0,MILP,6.044444444444444,0,15,0,0,328,0,0,30,0.0,536,171,536,0,0,536,,0,8,0,0,0.36670780181884766,0
860.0018653869629,,nan,0,64657750,,0,,drl_bf_m:6n-9m-n6s9_100_10_60_0.2,361954,,,CPLEX Error  1001: Out of memory.,1001,,{},,MILP,,,,,,100530,0,,,nan,100530,0,100530,,,100530,"<class 'AssertionError'>:Solution not found: status  = CPLEX Error  1001: Out of memory.
time    = 0.507941 s.
problem = MILP
",,,,,0.5079410076141357,
351.7892827987671,0,22.0,0,44740,22.0,90,13,nls_f:6n-9m-n6s9_30_9_20_0.2,11365,0,14,integer optimal solution,101,0,{},2,MILP,8.35,0,17,0,8,540,0,0,18,0.0,630,381,630,0,0,630,,0,26,0,9,0.3851301670074463,0
5988.3411655426025,9,89.0,0,34410,89.0,710,253,dr_ob_f:21n-70m-SpanishTelefonica_10_1_66_0.2,7275,0,245,integer optimal solution,101,0,{},0,MILP,29.205952380952382,0,36,0,28,790,2929,1,97,0.0,1500,124105,1500,6,0,1500,,0,57,0,0,8.849059820175171,0
26.6471586227417,38,20.0,0,2248,20.0,8,3,dr_aov_m:6n-9m-n6s9_100_30_20_0.2,524,0,0,integer optimal solution,101,0,{},26,MILP,5.6,0,6,0,0,444,0,0,27,0.0,452,397,452,0,0,452,,0,7,0,2,0.1217041015625,0
1378.2864713668823,0,14.0,0,301320,14.0,0,0,ds_acc_m:6n-9m-n6s9_30_15_12_1.0,76812,0,0,integer optimal solution,101,0,{},0,MILP,14.0,0,0,0,0,804,0,0,0,0.0,804,115,804,0,0,804,,0,0,0,0,1.0905358791351318,0
94684.36516189575,,nan,0,10595,,4,,dr_ob_c:43n-176m-EuroLarge_30_15_16_0.2,2126,,,"time limit exceeded, no integer solution",108,,{},,MILP,4.0,,,,,716,0,,,nan,720,0,720,,,720,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0112 s.
problem = MILP
",,,,,60.01124691963196,
182.60516929626465,0,18.0,0,17773,18.0,210,23,ds_bf_f:21n-70m-SpanishTelefonica_10_5_12_0.2,4501,0,34,integer optimal solution,101,0,{},3,MILP,7.616666666666667,0,10,0,0,243,0,3,15,0.0,453,526,453,1,0,453,,0,21,0,0,0.24927997589111328,0
111706.34922409058,0,14.999999999998662,0,715,16.0,4,0,dr_aov_c:21n-70m-SpanishTelefonica_30_15_12_0.2,216,0,0,time limit exceeded,107,0,{},0,MILP,2.0,0,0,5871,0,142,40290,0,0,0.06249999999969298,146,509532,146,0,0,146,,0,0,0,0,60.00319194793701,0
28229.969632148743,,nan,0,980653,,216,,ds_bf_f:6n-9m-n6s9_100_50_12_1.0,238673,,,"time limit exceeded, no integer solution",108,,{},,MILP,18.0,,,,,1428,0,,,nan,1644,0,1644,,,1644,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.1859 s.
problem = MILP
",,,,,60.18590807914734,
39.60541343688965,0,14.0,0,12924,14.0,24,0,dr_bf_m:6n-9m-n6s9_30_15_12_1.0,2754,0,0,integer optimal solution,101,0,{},0,MILP,14.0,0,0,0,0,564,0,0,0,0.0,588,25,588,0,0,588,,0,0,0,0,0.05144095420837402,0
719.1265554428101,0,18.0,0,260610,18.0,208,11,ds_bf_f:11n-52m-Pan-European-COST239_100_50_18_0.2,62902,0,25,integer optimal solution,101,0,{},11,MILP,6.488095238095239,0,22,0,7,612,0,5,18,0.0,820,229,820,0,0,820,,0,16,0,2,0.9000670909881592,0
24620.049723625183,,nan,0,2753360,,360,,nls_f:6n-9m-n6s9_100_30_20_1.0,690460,,,"time limit exceeded, no integer solution",108,,{},,MILP,28.000000000000004,,,,,6360,0,,,nan,6720,0,6720,,,6720,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.1727 s.
problem = MILP
",,,,,60.172662019729614,
3494.791604042053,0,89.0,0,266770,89.0,0,104,ds_bf_m:21n-70m-SpanishTelefonica_10_1_66_0.2,65206,0,3,integer optimal solution,101,0,{},268,MILP,29.20595238095238,0,24,0,2,5430,0,0,511,0.0,5430,8299,5430,0,0,5430,,0,279,0,6,4.312777996063232,0
2999.1046800613403,0,20.0,0,11026,20.0,14,1,dr_bf_c:11n-52m-Pan-European-COST239_100_50_18_0.5,2226,0,0,integer optimal solution,101,0,{},0,MILP,7.0,0,1,652,0,406,2392,0,0,0.0,420,24362,420,0,0,420,,0,2,0,0,1.7891271114349365,0
4566.327610015869,0,12.083333333333332,0,1054814,12.083333333333332,0,0,drl_bf_m:6n-9m-n6s9_30_9_20_0.5,14882,0,0,integer optimal solution,101,0,{},0,MILP,12.083333333333332,0,0,0,0,8532,0,0,0,0.0,8532,215,8532,0,0,8532,,0,0,0,0,3.3390109539031982,0
176.739839553833,0,27.0,0,36060,27.0,380,5,dr_ob_f:6n-9m-n6s9_30_9_20_1.0,7550,0,4,integer optimal solution,101,0,{},0,MILP,27.0,0,0,0,0,740,0,0,0,0.0,1120,76,1120,0,0,1120,,0,4,0,0,0.18907999992370605,0
28.267569541931152,0,12.0,0,5459,12.0,54,3,dr_bsa_f:6n-9m-n6s9_10_5_12_0.2,903,0,6,integer optimal solution,101,0,{},0,MILP,4.7,0,7,0,0,84,0,0,11,0.0,138,38,138,0,0,138,,0,3,0,1,0.06456613540649414,0
492.15696907043457,26,31.0,0,19732,31.0,4,10,dr_ob_m:43n-176m-EuroLarge_10_5_16_0.2,3518,0,0,integer optimal solution,101,0,{},41,MILP,12.291666666666668,0,18,0,1,3532,0,0,144,0.0,3536,4445,3536,0,0,3536,,0,53,0,1,0.90212082862854,0
